ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
1,Afghanistan ,Southern Asia,Asia,1871,1920,Centenary of 1st Anniversary of the end of the  War of Independence,Independence (National Symbols),https://www.stampworld.com/stamps/Afghanistan/Postage-stamps/g0202//,214-216,173-175,https://upload.wikimedia.org/wikipedia/commons/f/f0/Stamp_of_Afghanistan_-_1920_-_Colnect_665371_-_Royal_Star_of_Order_of_Independence_-_Large.jpeg,1-afghanistan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/1-afghanistan.jpeg
2,Albania,Southern Europe,Europe,1913,1937,Allegory of death of Skanderbeg,Leaders (Military),https://www.stampworld.com/stamps/Albania/Postage-stamps/g0282//,271,312,https://i.ebayimg.com/images/g/3kcAAOSwgJljGU62/s-l1600.webp,2-albania.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/2-albania.jpeg
3,Algeria,Northern Africa,Africa,1924,1963,The 9th Anniversary of Revolution,Independence (History),https://www.stampworld.com/stamps/Algeria/Postage-stamps/g0412//,312,418,https://i.ebayimg.com/images/g/C4AAAMXQMmJRTrm3/s-l1600.webp,3-algeria.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/3-algeria.jpeg
4,Andorra ES,Southern Europe,Europe,1928,1975,1100th Anniversary of Urgel Cathedral,Faith,https://www.stampworld.com/stamps/Andorra-ES/Postage-stamps/g0096//,89,94,https://i.ebayimg.com/images/g/GgMAAOSwhiphJD1S/s-l1600.webp,4-andorraes.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/4-andorraes.jpeg
5,Andorra FR,Southern Europe,Europe,1931,1963,Collection of Historical Events: Charlemagne conquers Andora (9th ce) and Louis the Pious founds Andorra (9th ce),Military,https://www.stampworld.com/en/stamps/Andorra-FR/Postage%20stamps/1960-1969?year=1963&user=281383,155-157,F186-F188,https://i.ebayimg.com/images/g/IoUAAOSwg75n3-J3/s-l1600.webp,5-andorrafr.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/5-andorrafr.jpeg
6,Angola,Middle Africa,Africa,1975,1980,The 5th Anniversary of Independence,Independence (Liberation),https://www.stampworld.com/stamps/Angola/Postage-stamps/g0645//,613,119,https://i.ebayimg.com/images/g/ZL8AAeSwlslofXyU/s-l1600.webp,6-angola.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/6-angola.jpeg
7,Antigua and Barbuda,Latin  America  and  the Caribbean,Americas,1981,1983,Founding of Methodist Church in Antigua,Faith,https://www.stampworld.com/stamps/Antigua-And-Barbuda/Postage-stamps/g0094//,738,822,https://i.ebayimg.com/images/g/pXEAAOSwvOVjqeCw/s-l1600.webp,7-antiguaandbarbuda.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/7-antiguaandbarbuda.jpeg
8,Argentina,Latin  America  and  the Caribbean,Americas,1858,1892,The 400th Anniversary of Discovery of America ,Discovery (Columbus),https://www.stampworld.com/stamps/Argentina/Postage-stamps/g0088//,"90,91",219-220,https://i.ebayimg.com/images/g/DzAAAeSwi5hpx-Vx/s-l1600.webp,8-argentina.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/8-argentina.jpeg
9,Armenia ,Western Asia,Asia,1992,1993,175th Anniversary of birth of painter Hovahannes Aivazovsky,Creatives (Artist),https://www.stampworld.com/stamps/Armenia/Postage-stamps/g0246//,458,35,https://upload.wikimedia.org/wikipedia/commons/c/cf/Stamp_of_Armenia_m27.jpg,9-armenia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/9-armenia.jpeg
10,Australia,Australia and New Zealand,Oceania,1913,1929,The 100th Anniversary of the Western Australia,Constitutional,https://www.stampworld.com/stamps/Australia/Postage-stamps/g0085//,103,116,https://i.ebayimg.com/images/g/5dcAAOSw6ZFhQu87/s-l1600.webp,10-australia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/10-australia.jpeg
11,Austria,Western Europe,Europe,1850,1908,The 60th Anniversary of the Reign of Emperor Franz Josef I,Leaders (Royalty),https://www.stampworld.com/stamps/Austria/Postage-stamps/g0150//,127,42,https://i.ebayimg.com/images/g/KLUAAOSw1SpngGAA/s-l1600.webp,11-austria.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/11-austria.jpeg
12,Azerbaijan ,Western Asia,Asia,1992,1994,500th Birth Anniversary of Mohammed ibn Suleiman Fuzuli,Creatives (Poet),https://www.stampworld.com/stamps/Azerbaijan/Postage-stamps/g0117//,400,132,https://upload.wikimedia.org/wikipedia/commons/3/36/Stamps_of_Azerbaijan%2C_1994-209k.jpg,12-azerbaijan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/12-azerbaijan.jpeg
13,Bahamas,Latin America and the Caribbean,Americas,1859,1930,300th Anniversary of the Colony,Discovery (Settlement),https://www.stampworld.com/stamps/Bahamas/Postage-stamps/g0088//,85-89,126-130,https://i.ebayimg.com/images/g/uXUAAOSwHYZjvTjm/s-l1600.webp,13-bahamas.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/13-bahamas.jpeg
14,Bahrain ,Western Asia,Asia,1933,1969,50th Anniversary of School Education in Bahrain,Culture (Education),https://www.stampworld.com/stamps/Bahrain/Postage-stamps/g0173//,164-166,162-164,https://i.ebayimg.com/images/g/XZYAAOSwYiNoDlvg/s-l1600.webp,14-bahrain.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/14-bahrain.jpeg
15,Bangladesh ,Southern Asia,Asia,1971,1972,Memory of the Martyrs,Independence (History),https://www.stampworld.com/stamps/Bangladesh/Postage-stamps/g0012//,32,12,https://i.ebayimg.com/images/g/TekAAOSwwnVj-qvF/s-l1600.webp,15-bangladesh.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/15-bangladesh.jpeg
16,Belarus,Eastern Europe,Europe,1992,1992,100th Anniversary of the Birth of Composer G.R. Shirma,Creatives (Musician),https://www.stampworld.com/stamps/Belarus/Postage-stamps/g0002//,2,2,https://i.ebayimg.com/images/g/Hu0AAOSwh2Nkv-UE/s-l1600.webp,16-belarus.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/16-belarus.jpeg
17,Belgium,Western Europe,Europe,1849,1915,Annexation of the Congo,Military,https://www.stampworld.com/stamps/Belgium/Postage-stamps/g0104//,120,55,https://i.ebayimg.com/images/g/BDUAAeSwvFRox5yC/s-l500.png,17-belgium.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/17-belgium.jpeg
18,Belize,Central America,Americas,1973,1979,UPU centenary - internal airmail services,Philately,https://www.stampworld.com/stamps/Belize/Postage-stamps/g0100//,410,480,https://i.ebayimg.com/images/g/whsAAOSwBkdi782H/s-l1600.webp,18-belize.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/18-belize.jpeg
19,Benin,Western Africa,Africa,1975,1976,3rd anniversary of KPARO newspaper used in language classrooms,Culture (Education),https://www.stampworld.com/stamps/Benin/Postage-stamps/g0028//,361,634,https://i.ebayimg.com/images/g/BTcAAOSwvzxjxvVD/s-l1600.webp,19-benin.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/19-benin.jpeg
20,Bhutan ,Southern Asia,Asia,1962,1966,40th Anniversary of King Jigme Wangchuck’s accession,Leaders (Royalty),https://www.stampworld.com/stamps/Bhutan/Postage-stamps/g0084//,83,83,https://www.stampexindia.com/wp-content/uploads/2024/06/15823736291.jpg,20-bhutan.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/20-bhutan.jpeg
21,Bolivia,Latin  America and the Caribbean,Americas,1867,1897,Historical figures e.g. Pedro Domingo Murillo ,Leaders (Political),https://www.stampworld.com/stamps/Bolivia/Postage-stamps/g0052//,49,79,https://i.ebayimg.com/images/g/qpQAAOSwpqBmz64I/s-l1600.webp,21-bolivia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/21-bolivia.jpeg
22,Bosnia & H. Croat Adm,Southern Europe,Europe,1993,1993,Medieval Census 250th anniversary,Culture,https://www.stampworld.com/stamps/Croatian-Post-Mostar/Postage-stamps/g0005//,5,C2,https://cdn.aukro.cz/images/sk1607441898328/republika-bosna-i-hercegovina-hrvatska-zajednica-herceg-bosna-88654493.jpeg,22-bosniahcroatadm.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/22-bosniahcroatadm.jpeg
23,Bosnia & H. Serb Adm,Southern Europe,Europe,1992,1994,150th Anniversary of the Birth of King Peter I Karadjordjevic,Leaders (Royalty),https://www.stampworld.com/stamps/Serbian-Rep.-B-and-H/Postage-stamps/g0029//,29,S29,https://i.ebayimg.com/images/g/EXkAAOSwUsFhwNEc/s-l1600.webp,23-bosniahserbadm.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/23-bosniahserbadm.jpeg
24,Bosnia & Herzegovina ,Southern Europe,Europe,1993,1994,10th Anniversary of the Winter Olympic Games in Sarajevo,Sport,https://www.stampworld.com/stamps/Bosnia-Herzegovina/Postage-stamps/g0170//,207,457,https://postshop.posta.ba/resursi/proizvodi/slike/velika/f96d5f555a2c88e1414d21ec0ec0a8d1.jpg,24-bosniaherzegovina.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/24-bosniaherzegovina.jpeg
25,Botswana,Southern Africa,Africa,1966,1972,84th Anniversary of the Mafeking-Gubulawayo Runner Post,Philately,https://www.stampworld.com/stamps/Botswana/Postage-stamps/g0088//,88-91,294-7,https://i.ebayimg.com/images/g/~zMAAeSwJVdp15z-/s-l1600.webp,25-botswana.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/25-botswana.jpeg
26,Brazil,Latin  America  and  the Caribbean,Americas,1866,1900,The 400th Anniversary of the Discovery of Brazil (Cabral),Discovery (Voyages),https://www.stampworld.com/stamps/Brazil/Postage-stamps/g0145//,162,226,https://i.ebayimg.com/images/g/2CIAAOSwLltmR6Ye/s-l1600.webp,26-brazil.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/26-brazil.jpeg
27,Brunei Darussalam,Southeastern Asia,Asia,1895,1971,10th Anniversary of the Royal Brunei Malay Regiment,Military,https://www.stampworld.com/stamps/Brunei/Postage-stamps/g0175//,162-164,178-180,https://i.ebayimg.com/images/g/9MMAAOSwxH1T8g~b/s-l1600.webp,27-bruneidarussalam.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/27-bruneidarussalam.jpeg
28,Bulgaria,Eastern Europe,Europe,1879,1901,25th Anniversary of the Uprising Against the Turks,Indpendence (History),https://www.stampworld.com/stamps/Bulgaria/Postage-stamps/g0051//,"53, 54","104, 105",https://i.ebayimg.com/images/g/yY4AAeSwzuVoDuN6/s-l1600.webp,28-bulgaria.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/28-bulgaria.jpeg
29,Burkina Faso,Western Africa,Africa,1959,1960,The 1st Anniversary of Proclamation of the Republic [as Upper Volta],Independence (National Symbols),https://www.stampworld.com/stamps/Upper-Volta/Postage-stamps/g0092//,92,check SG Upper Volta,https://i.ebayimg.com/images/g/9toAAOSwcDlnx9jD/s-l1600.webp,29-burkinafaso.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/29-burkinafaso.jpeg
30,Burundi,Eastern Africa,Africa,1962,1963,1st Anniversary of Admission to the UN,UN Admission,https://www.stampworld.com/stamps/Burundi/Postage-stamps/g0071//,57-61,61-65,https://i.ebayimg.com/images/g/m7MAAOSwA09f27sK/s-l1600.webp,30-burundi.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/30-burundi.jpeg
